model,image_id,delta
GPT-5.2,baidu_town_022181_0901830012200728110201185HG_h208,0.101009354
GPT-5.2,baidu_town_023188_09022400121907311111383411J_h201,0.069133
GPT-5.2,baidu_urban_001217_09010900121801190959141472K_h265,0.07652555
GPT-5.2,baidu_urban_001613_09024300121903060948567138N_h80,0.026590243
GPT-5.2,baidu_urban_002654_09028900011706161105346227C_h183,0.0058432072
GPT-5.2,baidu_urban_003614_01000300001311171127063605L_h0,-0.05060041
GPT-5.2,baidu_urban_006308_0900630012200923120413597HI_h160,-0.041601956
GPT-5.2,google_gsv_000011,0.04553604
GPT-5.2,google_gsv_000021,-0.035628676
GPT-5.2,google_gsv_000040,0.06372715
GPT-5.2,google_gsv_000046,-0.024900466
GPT-5.2,google_gsv_000064,0.010794789
GPT-5.2,google_gsv_000093,0.1484559
GPT-5.2,google_gsv_000105,0.07532118
GPT-5.2,google_gsv_000110,0.027906865
GPT-5.2,google_gsv_000119,0.0579205
GPT-5.2,google_gsv_000125,-0.019334912
GPT-5.2,google_gsv_000136,-0.10495672
GPT-5.2,google_gsv_000153,0.05803919
GPT-5.2,google_gsv_000165,-0.005268991
GPT-5.2,google_gsv_000172,-0.015367851
GPT-5.2,google_gsv_000196,0.050484538
GPT-5.2,google_gsv_000217,-0.058032766
GPT-5.2,google_gsv_000223,0.07258586
GPT-5.2,google_gsv_000225,0.070047304
GPT-5.2,google_gsv_000229,-0.079427734
GPT-5.2,google_gsv_000239,0.0677247
GPT-5.2,google_gsv_000251,-0.030271783
GPT-5.2,google_gsv_000273,-0.004890755
GPT-5.2,google_gsv_000274,0.00978753
GPT-5.2,google_gsv_000275,0.009845361
GPT-5.2,google_gsv_000309,-0.007892996
GPT-5.2,google_gsv_000310,0.011899129
GPT-5.2,google_gsv_000332,0.08420439
GPT-5.2,google_gsv_000336,-0.0069107264
GPT-5.2,google_gsv_000338,0.2225018
GPT-5.2,google_gsv_000353,-0.03451185
GPT-5.2,google_gsv_000355,0.00667195
GPT-5.2,google_gsv_000371,0.08579966
GPT-5.2,google_gsv_000380,0.0326038
GPT-5.2,google_gsv_000383,0.022843048
GPT-5.2,google_gsv_000390,0.03640178
GPT-5.2,google_gsv_000393,-0.038646683
GPT-5.2,google_gsv_000400,0.11767492
GPT-5.2,google_gsv_000409,0.026435763
GPT-5.2,google_gsv_000412,-0.122484714
GPT-5.2,google_gsv_000431,-0.002415195
GPT-5.2,google_gsv_000445,0.02923952
GPT-5.2,google_gsv_000453,-0.0240677
GPT-5.2,google_gsv_000455,0.13424939
GPT-5.2,google_gsv_000456,-0.08552344
GPT-5.2,google_gsv_000461,0.04562512
GPT-5.2,google_gsv_000469,-0.021080166
GPT-5.2,google_gsv_000474,-0.07761456
GPT-5.2,google_gsv_000490,-0.0251344
GPT-5.2,google_gsv_000491,0.060991064
GPT-5.2,google_gsv_000494,0.008689359
GPT-5.2,google_gsv_000497,0.038021587
GPT-5.2,google_gsv_000515,0.015244946
GPT-5.2,google_gsv_000517,-0.02258557
GPT-5.2,google_gsv_000522,0.05566808
GPT-5.2,google_gsv_000542,0.052282363
GPT-5.2,google_gsv_000558,0.10050064
GPT-5.2,google_gsv_000571,0.117804766
GPT-5.2,google_gsv_000584,-0.00904306
GPT-5.2,google_gsv_000606,0.03177446
GPT-5.2,google_gsv_000609,0.05000107
GPT-5.2,google_gsv_000618,-0.0052579492
GPT-5.2,google_gsv_000622,0.021781027
GPT-5.2,google_gsv_000636,0.063257106
GPT-5.2,google_gsv_000638,0.07110123
GPT-5.2,google_gsv_000654,0.010971516
GPT-5.2,google_gsv_000670,0.03843583
GPT-5.2,google_gsv_000676,0.038951844
GPT-5.2,google_gsv_000684,0.009848714
GPT-5.2,google_gsv_000694,-0.01115267
GPT-5.2,google_gsv_000700,-0.04440175
GPT-5.2,google_gsv_000723,-0.0835619
GPT-5.2,google_gsv_000724,0.0023911744
GPT-5.2,google_gsv_000727,0.045179978
GPT-5.2,google_gsv_000755,0.03262022
GPT-5.2,google_gsv_000756,0.047642097
GPT-5.2,google_gsv_000766,0.013601571
GPT-5.2,google_gsv_000789,0.14311206
GPT-5.2,google_gsv_000804,0.0799395
GPT-5.2,google_gsv_000806,0.07447624
GPT-5.2,google_gsv_000823,0.021363094
GPT-5.2,google_gsv_000827,-0.09487884
GPT-5.2,google_gsv_000841,-0.09412068
GPT-5.2,google_gsv_000844,-0.0051226914
GPT-5.2,google_gsv_000850,0.07709132
GPT-5.2,google_gsv_000853,-0.05173862
GPT-5.2,google_gsv_000865,-0.09961037
GPT-5.2,google_gsv_000930,0.018613636
GPT-5.2,google_gsv_000939,-0.0030988157
GPT-5.2,google_gsv_000957,0.05529599
GPT-5.2,google_gsv_000962,-0.009696856
GPT-5.2,google_gsv_001014,-0.053505912
GPT-5.2,google_gsv_001033,0.035159647
GPT-5.2,google_gsv_001040,-0.015043184
GPT-5.2,google_gsv_001045,0.0834126
GPT-5.2,google_gsv_001056,0.03022486
GPT-5.2,google_gsv_001062,0.068375066
GPT-5.2,google_gsv_001071,0.008283034
GPT-5.2,google_gsv_001086,-0.03188757
GPT-5.2,google_gsv_001087,0.073464915
GPT-5.2,google_gsv_001092,-0.038759023
GPT-5.2,google_gsv_001098,0.0043952316
GPT-5.2,google_gsv_001134,0.085834116
GPT-5.2,google_gsv_001138,-0.0054789484
GPT-5.2,google_gsv_001145,0.02204886
GPT-5.2,google_gsv_001164,0.010419086
GPT-5.2,google_gsv_001171,0.067614004
GPT-5.2,google_gsv_001190,0.02755478
GPT-5.2,google_gsv_001203,0.0045540035
GPT-5.2,google_gsv_001206,0.06508915
GPT-5.2,google_gsv_001220,0.110149354
GPT-5.2,google_gsv_001226,0.001934126
GPT-5.2,google_gsv_001235,0.08686549
GPT-5.2,google_gsv_001238,-0.06654593
GPT-5.2,google_gsv_001261,0.12427682
GPT-5.2,google_gsv_001277,-0.011773244
GPT-5.2,google_gsv_001278,-0.035718933
GPT-5.2,google_gsv_001310,-0.030367315
GPT-5.2,google_gsv_001313,-0.035405904
GPT-5.2,google_gsv_001316,0.025642142
GPT-5.2,google_gsv_001324,-0.056592822
GPT-5.2,google_gsv_001338,0.007217124
GPT-5.2,google_gsv_001350,-0.044555306
GPT-5.2,google_gsv_001353,-0.008308724
GPT-5.2,google_gsv_001376,0.016502216
GPT-5.2,google_gsv_001378,0.012213051
GPT-5.2,google_gsv_001382,0.041984364
GPT-5.2,google_gsv_001386,0.078204945
GPT-5.2,google_gsv_001420,0.06814629
GPT-5.2,google_gsv_001442,0.032627493
GPT-5.2,google_gsv_001449,-0.02597645
GPT-5.2,google_gsv_001475,0.032447577
GPT-5.2,google_gsv_001478,0.05400653
GPT-5.2,google_gsv_001518,0.049553484
GPT-5.2,google_gsv_001537,-0.103557006
GPT-5.2,google_gsv_001539,-0.047773063
GPT-5.2,google_gsv_001549,0.031084314
GPT-5.2,google_gsv_001562,-0.016704455
GPT-5.2,google_gsv_001564,0.0065574795
GPT-5.2,google_gsv_001590,0.091797635
GPT-5.2,google_gsv_001616,0.021953374
GPT-5.2,google_gsv_001617,0.18001468
GPT-5.2,google_gsv_001666,0.03498043
GPT-5.2,google_gsv_001669,-0.020575345
GPT-5.2,google_gsv_001674,-0.048569202
GPT-5.2,google_gsv_001685,0.0020934492
GPT-5.2,google_gsv_001702,0.05102679
GPT-5.2,google_gsv_001721,0.099461645
GPT-5.2,google_gsv_001728,-0.029608011
GPT-5.2,google_gsv_001733,0.09472592
GPT-5.2,google_gsv_001744,0.027369976
GPT-5.2,google_gsv_001748,0.045128882
GPT-5.2,google_gsv_001750,0.004189305
GPT-5.2,google_gsv_001759,0.07780722
GPT-5.2,google_gsv_001766,0.033499613
GPT-5.2,google_gsv_001777,-0.013319984
GPT-5.2,google_gsv_001788,-0.040337145
GPT-5.2,google_gsv_001792,0.07579169
GPT-5.2,google_gsv_001794,-0.03698513
GPT-5.2,google_gsv_001797,0.08009122
GPT-5.2,google_gsv_001798,0.004593104
GPT-5.2,google_gsv_001804,0.026286215
GPT-5.2,google_gsv_001815,0.030088603
GPT-5.2,google_gsv_001817,-0.04829909
GPT-5.2,google_gsv_001827,-0.051581725
GPT-5.2,google_gsv_001847,-0.036517173
GPT-5.2,google_gsv_001849,-0.024213977
GPT-5.2,google_gsv_001852,0.039240286
GPT-5.2,google_gsv_001854,-0.04044585
GPT-5.2,google_gsv_001868,0.07051796
GPT-5.2,google_gsv_001870,0.010962844
GPT-5.2,google_gsv_001871,-0.054041564
GPT-5.2,google_gsv_001887,0.018880442
GPT-5.2,google_gsv_001888,0.03954269
GPT-5.2,google_gsv_001893,-0.081203744
GPT-5.2,google_gsv_001898,0.04695557
GPT-5.2,google_gsv_001908,0.062171236
GPT-5.2,google_gsv_001915,0.076584175
GPT-5.2,google_gsv_001917,-0.054740325
GPT-5.2,google_gsv_001920,-0.012977302
GPT-5.2,google_gsv_001923,0.060363337
GPT-5.2,google_gsv_001928,0.026561365
GPT-5.2,google_gsv_001942,0.037709936
GPT-5.2,google_gsv_001945,0.09509115
GPT-5.2,google_gsv_001947,-0.023515359
GPT-5.2,google_gsv_001950,-0.0682255
GPT-5.2,google_gsv_001965,-0.02897337
GPT-5.2,google_gsv_001969,0.019014925
GPT-5.2,google_gsv_001978,0.02957321
GPT-5.2,google_gsv_001989,-0.021924347
GPT-5.2,google_gsv_001993,0.014692843
GPT-5.2,google_gsv_001997,0.014088422
GPT-5.2,google_gsv_002000,-0.0880657
GPT-5.2,google_gsv_002023,-0.02494593
GPT-5.2,google_gsv_002027,0.018987402
GPT-5.2,google_gsv_002035,0.020244166
GPT-5.2,google_gsv_002045,0.059533738
GPT-5.2,google_gsv_002048,0.092392385
GPT-5.2,google_gsv_002058,0.06513378
GPT-5.2,google_gsv_002059,-0.040657833
GPT-5.2,google_gsv_002107,0.04883735
GPT-5.2,google_gsv_002114,-0.05710402
GPT-5.2,google_gsv_002115,-0.023946315
GPT-5.2,google_gsv_002118,-0.0328269
GPT-5.2,google_gsv_002140,0.04165168
GPT-5.2,google_gsv_002155,0.14503254
GPT-5.2,google_gsv_002161,0.021101192
GPT-5.2,google_gsv_002185,0.051901087
GPT-5.2,google_gsv_002187,0.0813563
GPT-5.2,google_gsv_002210,-0.027641878
GPT-5.2,google_gsv_002227,-0.01601547
GPT-5.2,google_gsv_002234,0.050160468
GPT-5.2,google_gsv_002238,0.00585109
GPT-5.2,google_gsv_002256,-0.070387155
GPT-5.2,google_gsv_002281,0.093316406
GPT-5.2,google_gsv_002305,0.007706046
GPT-5.2,google_gsv_002328,0.030912973
GPT-5.2,google_gsv_002339,-0.030785054
GPT-5.2,google_gsv_002358,0.083798
GPT-5.2,google_gsv_002373,-0.0028018057
GPT-5.2,google_gsv_002376,0.11820093
GPT-5.2,google_gsv_002394,0.00653027
GPT-5.2,google_gsv_002422,0.012596965
GPT-5.2,google_gsv_002436,-0.010943085
GPT-5.2,google_gsv_002438,-0.08069457
GPT-5.2,google_gsv_002458,-0.048097953
GPT-5.2,google_gsv_002466,0.024164319
GPT-5.2,google_gsv_002474,0.08986041
GPT-5.2,google_gsv_002485,0.004363239
GPT-5.2,google_gsv_002503,0.06376886
GPT-5.2,google_gsv_002505,0.042156145
GPT-5.2,google_gsv_002511,0.0069131553
GPT-5.2,google_gsv_002521,-0.10449956
GPT-5.2,google_gsv_002538,0.06587337
GPT-5.2,google_gsv_002544,0.15600751
GPT-5.2,google_gsv_002545,0.04573682
GPT-5.2,google_gsv_002551,0.08425994
GPT-5.2,google_gsv_002594,0.10124849
GPT-5.2,google_gsv_002604,0.042557076
GPT-5.2,google_gsv_002611,0.08291811
GPT-5.2,google_gsv_002613,0.05383332
GPT-5.2,google_gsv_002629,0.023772627
GPT-5.2,google_gsv_002633,-0.12214443
GPT-5.2,google_gsv_002636,-0.014666334
GPT-5.2,google_gsv_002657,0.04734984
GPT-5.2,google_gsv_002658,-0.024165466
GPT-5.2,google_gsv_002665,0.14373963
GPT-5.2,google_gsv_002667,-0.074468344
GPT-5.2,google_gsv_002673,0.046013817
GPT-5.2,google_gsv_002674,0.091186434
GPT-5.2,google_gsv_002732,0.015265353
GPT-5.2,google_gsv_002734,0.05249107
GPT-5.2,google_gsv_002741,0.07230973
GPT-5.2,google_gsv_002749,-0.00516735
GPT-5.2,google_gsv_002753,-0.0325993
GPT-5.2,google_gsv_002757,0.053577304
GPT-5.2,google_gsv_002762,0.016723275
GPT-5.2,google_gsv_002778,0.030944556
GPT-5.2,google_gsv_002779,-0.018040583
GPT-5.2,google_gsv_002786,0.058726966
GPT-5.2,google_gsv_002792,0.023765758
GPT-5.2,google_gsv_002814,0.051835805
GPT-5.2,google_gsv_002819,0.010556191
GPT-5.2,google_gsv_002841,0.029230192
