condition_abbr,pc1,pc2,pc1_var_explained,pc2_var_explained,model_key
NEU,-0.16355453,-0.009912461,0.5577125,0.16178373,gpt52
ENA,0.04423991,0.008106301,0.5577125,0.16178373,gpt52
CSA,-0.009984354,-0.01906906,0.5577125,0.16178373,gpt52
NAWA,-0.02438845,-0.0049097883,0.5577125,0.16178373,gpt52
ESEA,0.042207185,-0.013216802,0.5577125,0.16178373,gpt52
SSA,0.06206492,-0.06277457,0.5577125,0.16178373,gpt52
LAC,0.033945348,0.031906515,0.5577125,0.16178373,gpt52
OCE,0.015469914,0.06986986,0.5577125,0.16178373,gpt52
NEU,0.110421866,-0.0053085457,0.63142735,0.1659906,gemini25flash
ENA,0.046627857,0.03468428,0.63142735,0.1659906,gemini25flash
CSA,-0.038730726,0.015678126,0.63142735,0.1659906,gemini25flash
NAWA,-0.037914123,-0.0053880382,0.63142735,0.1659906,gemini25flash
ESEA,-0.049630716,0.03181736,0.63142735,0.1659906,gemini25flash
SSA,-0.017555745,-0.036808874,0.63142735,0.1659906,gemini25flash
LAC,-0.004751242,0.0030099745,0.63142735,0.1659906,gemini25flash
OCE,-0.008467205,-0.037684314,0.63142735,0.1659906,gemini25flash
NEU,-0.20034273,-0.027770711,0.4439013,0.20896292,claude_sonnet4
ENA,-0.1402525,-0.020145537,0.4439013,0.20896292,claude_sonnet4
CSA,0.0059590456,0.013186388,0.4439013,0.20896292,claude_sonnet4
NAWA,0.02892942,0.00796706,0.4439013,0.20896292,claude_sonnet4
ESEA,0.03568085,0.0987602,0.4439013,0.20896292,claude_sonnet4
SSA,0.0074316384,-0.009529657,0.4439013,0.20896292,claude_sonnet4
LAC,0.14680299,-0.15858527,0.4439013,0.20896292,claude_sonnet4
OCE,0.115791366,0.096117504,0.4439013,0.20896292,claude_sonnet4
