model_key,model_label,color,marker,image_micro20,micro_abbr,home_meso_abbr,n_images,mu_self,mu_others,sigma_region,ipi,ipi_boot_mean,ci95_low,ci95_high,ci95_lower_delta,ci95_upper_delta,text_variant,bootstrap_reps
gpt52,GPT-5.2,#47AFFF,o,Northern America,NAM,ENA,150,0.6134740767333333,0.749041705528889,0.6641635229759837,-0.2041178476470739,-0.2042543519252103,-0.3855897394324884,-0.0334948028350218,0.181335387507278,0.1707595490901885,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,Western Europe,WEU,ENA,150,0.8226391171333334,0.8568538403111112,0.5089317738232689,-0.0672285067225125,-0.0650947716405674,-0.219504671328159,0.0770392440383072,0.1544098996875916,0.1421340156788746,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,Northern Europe,NEU,ENA,194,0.6997147834536082,0.7827275140206186,0.6223848864364795,-0.1333784485711201,-0.1343682690634064,-0.2798555650558645,0.0043132146143232,0.1454872959924581,0.1386814836777297,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,Southern Europe,SEU,ENA,167,0.6979659973652695,0.79120159,0.6139718625060028,-0.1518564584607799,-0.1507971957881471,-0.2989225183615392,-0.008963428519959,0.1481253225733921,0.1418337672681881,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,Eastern Europe,EEU,ENA,182,0.704386563901099,0.8143421266391941,0.5859211837846796,-0.1876627194597264,-0.1883536070901387,-0.3502454234099247,-0.0418134387287264,0.1618918163197859,0.1465401683614123,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,Central Asia,CAS,CSA,150,0.6384797991333334,0.555311841621889,0.8016314991869095,0.1037483651725278,0.1063917159212927,-0.0439597910134433,0.2506836235236593,0.1503515069347361,0.1442919076023665,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,Southern Asia,SAS,CSA,160,0.7738138410625001,0.8089079248229166,0.5737241345600633,-0.0611689166385287,-0.0622519031276414,-0.2078798377598272,0.074523900811296,0.1456279346321858,0.1367758039389375,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,Northern Africa,NAF,NAWA,97,0.8092739251546391,0.5341405222250859,0.8013979478393716,0.3433168298862423,0.3458364225416919,0.1980828239294028,0.4831926666303517,0.1477535986122891,0.1373562440886597,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,Western Asia,WAS,NAWA,150,0.7452163043333333,0.7181509445111111,0.6746298853368885,0.0401188272421502,0.0391219677030054,-0.111567427826715,0.1844041036436716,0.1506893955297205,0.1452821359406662,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,Eastern Asia,EAS,ESEA,159,0.7696588204402516,0.7326704013836478,0.6550597812944303,0.0564657152107748,0.0575536360471496,-0.0831164716282961,0.1882489715027593,0.1406701076754458,0.1306953354556096,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,South-eastern Asia,SEA,ESEA,180,0.8783958586666668,0.8048621684907407,0.5613192814876096,0.1310015397672551,0.1321139902554417,-0.0048062147641905,0.2441296536470772,0.1369202050196322,0.1120156633916355,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,Eastern Africa,EAF,SSA,153,0.703501558235294,0.7411394738779956,0.6559512124538518,-0.0573791387653689,-0.0597106976925249,-0.2219762572224879,0.096181168150554,0.1622655595299629,0.155891865843079,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,Middle Africa,MAF,SSA,103,0.8557558583495146,0.6951054789967637,0.6782685529511772,0.2368536454384533,0.2379641805951164,0.0833767238701858,0.3779857105819794,0.1545874567249305,0.140021529986863,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,Western Africa,WAF,SSA,150,0.7421751791333333,0.6442688705988889,0.7339737406572592,0.1333921135199894,0.1319100097423449,-0.017209781306229,0.2751744519068761,0.1491197910485739,0.1432644421645312,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,Southern Africa,SAF,SSA,151,0.6507745255629138,0.7040074875695365,0.698133146815955,-0.0762504434138494,-0.075753017067229,-0.2477191191272852,0.0827898490537163,0.1719661020600562,0.1585428661209453,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,Caribbean,CAR,LAC,76,0.7830984631578947,0.6813994892609648,0.6992857284609251,0.1454326461384555,0.1447603705931167,-0.0720165380130203,0.3487170104175182,0.216776908606137,0.2039566398244015,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,Central America,CAM,LAC,153,0.7918961541503268,0.7366640369542484,0.6438921224854138,0.0857785260407957,0.0875043247935712,-0.063524495543938,0.2233486991377473,0.1510288203375092,0.1358443743441761,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,South America,SAM,LAC,175,0.7670594821714285,0.6868761782638095,0.6967619658720613,0.1150799094024344,0.113290104530807,-0.0196093665846789,0.2352653135217439,0.1328994711154859,0.1219752089909368,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,Australia and New Zealand,ANZ,OCE,150,0.9029572572,0.9097331365222222,0.4028300874286127,-0.016820688259595,-0.0151288813376702,-0.1695340002437888,0.1273030159972789,0.1544051189061186,0.1424318973349491,stripped,3000
gpt52,GPT-5.2,#47AFFF,o,Pacific islands,PAC,OCE,43,0.9482182969358312,0.8548449008778352,0.4800712983494036,0.1944990179147042,0.1928869832804006,-0.0605449645010316,0.3681471254386702,0.2534319477814322,0.1752601421582695,stripped,3000
gemini25flash,Gemini 2.5 Flash,#F584B1,s,Northern America,NAM,ENA,150,0.9361781184666668,0.8993806738222222,0.4090475405329104,0.0899588458507892,0.0905374329618018,-0.035066812129236,0.2083310773024869,0.1256042450910379,0.1177936443406851,stripped,3000
gemini25flash,Gemini 2.5 Flash,#F584B1,s,Western Europe,WEU,ENA,150,0.9317737701333334,0.9155606130888888,0.3836075633724395,0.042264956670584,0.0418536313192981,-0.1113477330032021,0.173879412539433,0.1532013643225003,0.1320257812201349,stripped,3000
