model_key,model_label,color,marker,region_abbr,region_label,n_images,mu_self,mu_others,sigma_region,ipi,ci95_low,ci95_high,ci95_lower_delta,ci95_upper_delta,ipi_boot_mean,text_variant,bootstrap_reps,sig_positive
gpt52,GPT-5.2,#47AFFF,o,ENA,Europe & N. America,843,0.7069042980545671,0.7984275233384738,0.6030835944500331,-0.1517587712983122,-0.2232518430920094,-0.0812075679015511,0.07131309570227,0.0707311794881882,-0.1519387473897394,stripped,4000,False
gpt52,GPT-5.2,#47AFFF,o,CSA,Central & S. Asia,310,0.7083296272258065,0.686200142628871,0.7032801352633989,0.0314661021793931,-0.0717918824341548,0.1311746945744034,0.1022492607029938,0.1007173163055644,0.0304573782688389,stripped,4000,False
gpt52,GPT-5.2,#47AFFF,o,NAWA,N. Africa & W. Asia,247,0.7703725359919029,0.6458877422368421,0.730441936600052,0.1704239413395312,0.0681991367495414,0.2708489782289867,0.1030316633707295,0.0996181781087157,0.171230800120271,stripped,4000,True
gpt52,GPT-5.2,#47AFFF,o,ESEA,E. & SE. Asia,339,0.8273953009144541,0.7710023131219272,0.6081893683001312,0.0927227451379878,0.0007764493949256,0.1837434127389849,0.0934007537045607,0.0895662096394986,0.0941772030994863,stripped,4000,True
gpt52,GPT-5.2,#47AFFF,o,SSA,Sub-Saharan Africa,557,0.7277770593357271,0.6964733663426091,0.6935288436425895,0.0451368292466439,-0.0337859034813103,0.1223957283091541,0.0793205172595562,0.0768611145309082,0.0455346137782458,stripped,4000,False
gpt52,GPT-5.2,#47AFFF,o,LAC,Lat. Am. & Caribbean,404,0.7794826835767327,0.7047012129554455,0.677855089130025,0.110320733473084,0.0219057415501717,0.1953003431521343,0.0894529850099954,0.0839416165919671,0.1113587265601672,stripped,4000,True
gpt52,GPT-5.2,#47AFFF,o,OCE,Oceania,193,0.9130413230478794,0.8975041513786541,0.4214166613439173,0.0368689069380326,-0.0970822171031336,0.1568041553735916,0.1326923708792009,0.1211940015975243,0.0356101537760673,stripped,4000,False
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,ENA,Europe & N. America,843,0.9614313896797154,0.8696532759282326,0.4606174031956344,0.1992502087735982,0.1548018350899919,0.2371446204097516,0.0443288824506559,0.0380139028691036,0.1991307175406479,stripped,4000,True
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,CSA,Central & S. Asia,310,0.9905507542258064,0.8645319546575269,0.4595746465726019,0.2742074666392015,0.228363812587146,0.3137928360509098,0.0457794419917526,0.0396495814720111,0.2741432545788986,stripped,4000,True
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,NAWA,N. Africa & W. Asia,247,0.9812246610526316,0.8458914741160594,0.4899891215401919,0.2761963092388195,0.2128442585336991,0.3251871643566079,0.0628072763563803,0.0495356294665284,0.2756515348900795,stripped,4000,True
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,ESEA,E. & SE. Asia,339,0.9795765532448376,0.9348128761307768,0.3258650422612161,0.1373687610166477,0.0714217499992314,0.1932735565316926,0.0659659620266901,0.0558858445057709,0.1373877120259216,stripped,4000,True
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,SSA,Sub-Saharan Africa,557,0.989977556642729,0.9339980907839616,0.3217150619231208,0.1740032484775132,0.1319031839910161,0.2078587170478654,0.041654611500581,0.0343009215562681,0.1735577954915972,stripped,4000,True
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,LAC,Lat. Am. & Caribbean,404,0.967738037970297,0.9437326717367986,0.3085691236789971,0.0777957494492255,0.0015029001982559,0.1454408801599122,0.0759618035576622,0.067976176403994,0.0774647037559181,stripped,4000,True
claude_sonnet4,Claude Sonnet 4,#A0ACBD,^,OCE,Oceania,193,0.9441289090179428,0.9705528173492772,0.2424689085051574,-0.1089785428335538,-0.2702557124195142,0.0411356376018472,0.1621970484764222,0.1491943015449393,-0.108058663943092,stripped,4000,False
gemini25flash,Gemini 2.5 Flash,#F584B1,s,ENA,Europe & N. America,843,0.9221504675978648,0.8697709962556345,0.4659098137086573,0.1124240567617327,0.0584261112724371,0.1650037058960893,0.0541668458961559,0.0524107487274962,0.112592957168593,stripped,4000,True
gemini25flash,Gemini 2.5 Flash,#F584B1,s,CSA,Central & S. Asia,310,0.8786713324032257,0.8711153415215053,0.4744480132609572,0.0159258563014879,-0.0977219885001372,0.1209081853001632,0.1124726179015759,0.1061575558987245,0.0147506294014387,stripped,4000,False
