key,label,mean_pairwise_distance,ci_low,ci_high,model_key,model_label,label_short
human,Human,0.7340243458747864,0.7253437891602517,0.7402484074234963,gpt52,GPT-5.2,HUM
neutral,Neutral,0.4177435040473938,0.4102645620703697,0.424827104061842,gpt52,GPT-5.2,NEU
united_kingdom,United Kingdom,0.3972654640674591,0.3896832920610905,0.4041568532586098,gpt52,GPT-5.2,UK
western_europe,Western Europe,0.391438364982605,0.3830913923680782,0.3986117519438267,gpt52,GPT-5.2,WE
europe_northern_america,Europe and Northern America,0.3928282558917999,0.3851343147456646,0.3997196964919567,gpt52,GPT-5.2,ENA
human,Human,0.7340243458747864,0.7253437891602517,0.7402484074234963,claude_sonnet4,Claude Sonnet 4,HUM
neutral,Neutral,0.391898363828659,0.3839370250701904,0.39962974563241,claude_sonnet4,Claude Sonnet 4,NEU
united_kingdom,United Kingdom,0.38070809841156,0.3726395726203918,0.3876809865236282,claude_sonnet4,Claude Sonnet 4,UK
western_europe,Western Europe,0.3830520212650299,0.3755117937922477,0.3918341122567653,claude_sonnet4,Claude Sonnet 4,WE
europe_northern_america,Europe and Northern America,0.3874370455741882,0.3794538863003254,0.395160961151123,claude_sonnet4,Claude Sonnet 4,ENA
human,Human,0.7340243458747864,0.7253437891602517,0.7402484074234963,gemini25flash,Gemini 2.5 Flash,HUM
neutral,Neutral,0.3914806544780731,0.3830102361738682,0.3990192480385303,gemini25flash,Gemini 2.5 Flash,NEU
united_kingdom,United Kingdom,0.3890641927719116,0.3816137820482254,0.3962280914187431,gemini25flash,Gemini 2.5 Flash,UK
western_europe,Western Europe,0.3751839697360992,0.3684749141335487,0.3826559297740459,gemini25flash,Gemini 2.5 Flash,WE
europe_northern_america,Europe and Northern America,0.3800794780254364,0.3720254249870777,0.3883703961968422,gemini25flash,Gemini 2.5 Flash,ENA
