model_label,dimension,mean_abs_sd_shift,ci_low,ci_high,n_images
Claude Sonnet 4,wealthy,0.20288075368341071,0.19459988003123238,0.2119077065089226,2997
GPT-5.2,wealthy,0.14105600294908732,0.1310733876252908,0.1525775831428051,2466
Gemini 2.5 Flash,wealthy,0.2151834141745095,0.2014467736738915,0.228147342591441,3000
Claude Sonnet 4,safe,0.1848057749558521,0.17550859939380611,0.1977775441496604,2997
GPT-5.2,safe,0.1337617607101739,0.1261018982201522,0.14210831799397514,2466
Gemini 2.5 Flash,safe,0.1925231983175723,0.18077161824369672,0.2053767289432156,3000
Claude Sonnet 4,beautiful,0.12949406888511267,0.12110782458678299,0.13766636013090633,2997
GPT-5.2,beautiful,0.06550921456464821,0.0589862882754511,0.07389690126483651,2466
Gemini 2.5 Flash,beautiful,0.10586593008948446,0.09792728828687612,0.11577470700375742,3000
Claude Sonnet 4,depressing,0.13437698821978514,0.1246358806506443,0.1451339949807322,2997
GPT-5.2,depressing,0.06819742927130189,0.06437112736672115,0.07316759246442688,2466
Gemini 2.5 Flash,depressing,0.10823094459513984,0.09615076307709816,0.11891988789345233,3000
Claude Sonnet 4,lively,0.17162050080597369,0.15857138280465785,0.18602295244291447,2997
GPT-5.2,lively,0.06404674439700463,0.053928309122964646,0.07579682765763994,2466
Gemini 2.5 Flash,lively,0.11313220437315316,0.10224154615631514,0.12536413626962692,3000
Claude Sonnet 4,boring,0.12056171361315046,0.1105231401676084,0.13292548937519136,2997
GPT-5.2,boring,0.04434109994670764,0.03540080285092495,0.054023615401137294,2466
Gemini 2.5 Flash,boring,0.15515464266839324,0.13819192692735044,0.17426451390061795,3000
