model_label,region,mean_abs_sd_shift,ci_low,ci_high,n_images
GPT-5.2,ENA,0.2853891576400896,0.2802877427726562,0.2907144845115028,2466
GPT-5.2,CSA,0.31852094362019634,0.31315812743895904,0.3244663571580306,2466
GPT-5.2,NAWA,0.29686580666983114,0.2911835536353628,0.30223787197703417,2466
GPT-5.2,ESEA,0.29279606874698166,0.2877120704470271,0.29852735774121836,2466
GPT-5.2,SSA,0.3544933671071583,0.3480055184275976,0.3609289153748821,2466
GPT-5.2,LAC,0.29681270233127266,0.2911209547505612,0.3029411767741214,2466
GPT-5.2,OCE,0.2948444698267332,0.28924153926000007,0.30025796747561956,2466
Claude Sonnet 4,ENA,0.1937264068838926,0.1858295295608154,0.20250446155342905,2997
Claude Sonnet 4,CSA,0.2886696923809397,0.2804703676422773,0.2975328101661714,2997
Claude Sonnet 4,NAWA,0.28487895233462845,0.27578004078412327,0.29365417772413194,2997
Claude Sonnet 4,ESEA,0.2529242377373314,0.24444664329423188,0.26085177723998315,2997
Claude Sonnet 4,SSA,0.4514834452028588,0.439423258757061,0.4646600354160812,2997
Claude Sonnet 4,LAC,0.29820895684116355,0.28873046773719246,0.30796321638050794,2997
Claude Sonnet 4,OCE,0.27000106460503254,0.26041597699656244,0.28016188803268344,2997
Gemini 2.5 Flash,ENA,0.25623915240549516,0.2484592055113546,0.2638425911740904,3000
Gemini 2.5 Flash,CSA,0.3354996829990203,0.3271534367378838,0.34481023859777615,3000
Gemini 2.5 Flash,NAWA,0.29033978908648556,0.2822813914782023,0.29977184467780554,3000
Gemini 2.5 Flash,ESEA,0.2814643293611501,0.2733942696294653,0.2897647147794884,3000
Gemini 2.5 Flash,SSA,0.5061310342673485,0.49448050855791326,0.5169863425127301,3000
Gemini 2.5 Flash,LAC,0.3299872730195387,0.3212402798077874,0.3394957499935276,3000
Gemini 2.5 Flash,OCE,0.30177315840666136,0.2934972464457726,0.3108583505321544,3000
