model_label,dimension,region,mean_sd_shift,ci_low,ci_high,p_value,sig_p05,n_images,neutral_sd
GPT-5.2,wealthy,SSA,0.38771774903271833,0.36914824587884515,0.4055249886032463,0.0003332222592469177,True,2607,12.580381328867352
GPT-5.2,wealthy,NAWA,0.10255728792967769,0.0898265655079463,0.1152046304425232,0.0003332222592469177,True,2860,12.580381328867352
GPT-5.2,wealthy,CSA,0.24573193838028778,0.2321678421429856,0.25910565425578086,0.0003332222592469177,True,2954,12.580381328867352
GPT-5.2,wealthy,ESEA,0.09842620942423455,0.08581643643395472,0.11100726920552356,0.0003332222592469177,True,2976,12.580381328867352
GPT-5.2,wealthy,OCE,0.09571051821269963,0.08365709927551085,0.10771083838805062,0.0003332222592469177,True,2994,12.580381328867352
GPT-5.2,wealthy,LAC,0.07693070726197516,0.0621148176749789,0.09081527429309817,0.0003332222592469177,True,2983,12.580381328867352
GPT-5.2,wealthy,ENA,-0.0009826553021837297,-0.012747960676978125,0.010862988783127043,0.8807064311896035,False,2993,12.580381328867352
GPT-5.2,safe,SSA,0.23581165323415584,0.21914622565438024,0.25273522113935765,0.0003332222592469177,True,2607,10.290178144017764
GPT-5.2,safe,NAWA,0.1621819462718757,0.1468574003325051,0.17811811488731877,0.0003332222592469177,True,2860,10.290178144017764
GPT-5.2,safe,CSA,0.23436379750268205,0.21877024893217792,0.24992527073593665,0.0003332222592469177,True,2954,10.290178144017764
GPT-5.2,safe,ESEA,0.1209199313164441,0.10508082446118046,0.13636555041249543,0.0003332222592469177,True,2976,10.290178144017764
GPT-5.2,safe,OCE,0.13200776648589274,0.1169471312143279,0.14693938015141347,0.0003332222592469177,True,2994,10.290178144017764
GPT-5.2,safe,LAC,-0.054177143432827216,-0.06994568934387604,-0.03772527486182436,0.0003332222592469177,True,2983,10.290178144017764
GPT-5.2,safe,ENA,-0.020325663108977543,-0.03532639211272775,-0.004674740169512844,0.012329223592135955,True,2993,10.290178144017764
GPT-5.2,beautiful,SSA,0.15673659991242797,0.1426127197660416,0.17124998589748175,0.0003332222592469177,True,2607,13.959442182831944
GPT-5.2,beautiful,NAWA,0.045611656853763845,0.032334556904967095,0.059037163758550996,0.0003332222592469177,True,2860,13.959442182831944
GPT-5.2,beautiful,CSA,0.10985495404475687,0.09729317342771843,0.12290356428705984,0.0003332222592469177,True,2954,13.959442182831944
GPT-5.2,beautiful,ESEA,0.023926842632355567,0.0108080003439916,0.03690306264446531,0.0016661112962345886,True,2976,13.959442182831944
GPT-5.2,beautiful,OCE,0.06771214555103137,0.054910243262310754,0.08010669827155185,0.0003332222592469177,True,2994,13.959442182831944
GPT-5.2,beautiful,LAC,0.0020892861964372372,-0.011047400948460228,0.014601588960790243,0.7437520826391203,False,2983,13.959442182831944
GPT-5.2,beautiful,ENA,-0.05933374292785572,-0.07206752049187042,-0.04659996536384101,0.0003332222592469177,True,2993,13.959442182831944
GPT-5.2,depressing,SSA,-0.18157979305591856,-0.19704876787440379,-0.16633158811118348,0.0003332222592469177,True,2607,13.986692917650121
GPT-5.2,depressing,NAWA,-0.043422892095974885,-0.057472210091333485,-0.02944857046002212,0.0003332222592469177,True,2860,13.986692917650121
GPT-5.2,depressing,CSA,-0.1118192164411078,-0.12559149558296956,-0.09763124573163216,0.0003332222592469177,True,2954,13.986692917650121
GPT-5.2,depressing,ESEA,0.04682349986765308,0.033129608167005435,0.06075823589163228,0.0003332222592469177,True,2976,13.986692917650121
GPT-5.2,depressing,OCE,-0.007593819745314315,-0.02101553794611278,0.0062087834395651645,0.2785738087304232,False,2994,13.986692917650121
GPT-5.2,depressing,LAC,0.013661757191125508,-0.0005039270963919551,0.02787717506841768,0.05798067310896368,False,2983,13.986692917650121
GPT-5.2,depressing,ENA,0.0768235343232605,0.06315964699959602,0.09034409415751592,0.0003332222592469177,True,2993,13.986692917650121
GPT-5.2,lively,SSA,0.06173433248919649,0.04684343430188879,0.07674966132633847,0.0003332222592469177,True,2607,9.171039620539563
GPT-5.2,lively,NAWA,0.0803685260951444,0.0661448601212611,0.09424810955099704,0.0003332222592469177,True,2860,9.171039620539563
GPT-5.2,lively,CSA,0.13277349188533324,0.119557970775451,0.14687490785349963,0.0003332222592469177,True,2954,9.171039620539563
GPT-5.2,lively,ESEA,0.048473942977769885,0.03432929771203439,0.062143191863961514,0.0003332222592469177,True,2976,9.171039620539563
GPT-5.2,lively,OCE,0.08613125581570275,0.07185495464033045,0.10102668229714988,0.0003332222592469177,True,2994,9.171039620539563
GPT-5.2,lively,LAC,-0.00475194635543454,-0.01853259078619471,0.00917582564517659,0.5018327224258581,False,2983,9.171039620539563
GPT-5.2,lively,ENA,0.029217905611980552,0.01602886286986427,0.04200620401278538,0.0003332222592469177,True,2993,9.171039620539563
GPT-5.2,boring,SSA,-0.01771186889979618,-0.03932060490941023,0.004506032543076761,0.13095634788403865,False,2607,7.493257872722778
GPT-5.2,boring,NAWA,-0.045728753564547135,-0.06514014283276306,-0.024916337943499033,0.0003332222592469177,True,2860,7.493257872722778
GPT-5.2,boring,CSA,-0.0454030357904805,-0.06568757615856582,-0.026200488165859858,0.0003332222592469177,True,2954,7.493257872722778
GPT-5.2,boring,ESEA,0.08443970638284537,0.0656481721503805,0.10484335290658124,0.0003332222592469177,True,2976,7.493257872722778
GPT-5.2,boring,OCE,-0.03623832127289058,-0.05464721018519539,-0.016533455495875676,0.0003332222592469177,True,2994,7.493257872722778
GPT-5.2,boring,LAC,0.03010863953080006,0.009617540539574653,0.05019709698298058,0.0016661112962345886,True,2983,7.493257872722778
GPT-5.2,boring,ENA,-0.049582382544440626,-0.0689360094719716,-0.02951645475256841,0.0003332222592469177,True,2993,7.493257872722778
Claude Sonnet 4,wealthy,SSA,0.5115932619167125,0.4951647328116792,0.5276927309287629,0.0003332222592469177,True,2999,15.326525124570445
Claude Sonnet 4,wealthy,NAWA,0.2045067685314522,0.19188826579227744,0.21778067195169176,0.0003332222592469177,True,2999,15.326525124570445
Claude Sonnet 4,wealthy,CSA,0.28293728986718464,0.2697748861478731,0.2970787153507425,0.0003332222592469177,True,2999,15.326525124570445
Claude Sonnet 4,wealthy,ESEA,-0.004895108821231568,-0.016208249208077858,0.00652681176164209,0.4148617127624125,False,2999,15.326525124570445
Claude Sonnet 4,wealthy,OCE,0.13684548660242915,0.12564112641161024,0.14848768708225826,0.0003332222592469177,True,2999,15.326525124570445
Claude Sonnet 4,wealthy,LAC,0.21244772284145005,0.19852385774994694,0.22670064802593595,0.0003332222592469177,True,2999,15.326525124570445
Claude Sonnet 4,wealthy,ENA,-0.07129857663175862,-0.08185729714058392,-0.06041329775668096,0.0003332222592469177,True,2997,15.326525124570445
Claude Sonnet 4,safe,SSA,0.393445726995585,0.3711825994684459,0.41485677931537057,0.0003332222592469177,True,2999,15.653288752733545
Claude Sonnet 4,safe,NAWA,0.26542142709068706,0.24699530073166262,0.2829954782423577,0.0003332222592469177,True,2999,15.653288752733545
Claude Sonnet 4,safe,CSA,0.24358699990224772,0.22611679541647323,0.25966991944104933,0.0003332222592469177,True,2999,15.653288752733545
Claude Sonnet 4,safe,ESEA,0.0018106598156266802,-0.01587256347198621,0.019600392504158796,0.8427190936354548,False,2999,15.653288752733545
Claude Sonnet 4,safe,OCE,0.20321993695386473,0.18585890460403245,0.22058363203871997,0.0003332222592469177,True,2999,15.653288752733545
Claude Sonnet 4,safe,LAC,0.05762158589729602,0.04132564755665593,0.07360065877020146,0.0003332222592469177,True,2999,15.653288752733545
