dimension,meso7_key,meso7_label,mean_delta,ci_low,ci_high,p_value,sig_p05,n_images,model_label
safe,sub_saharan_africa,SSA,1.3159634317862166,0.9869848804500703,1.6542800632911392,0.0003332222592469177,True,474,GPT-5.2
safe,northern_africa_western_asia,NAWA,1.177561327561327,0.7753571428571426,1.5907647907647904,0.0003332222592469177,True,231,GPT-5.2
safe,central_southern_asia,CSA,1.5886165577342044,1.2398760893246188,1.9457775054466226,0.0003332222592469177,True,306,GPT-5.2
safe,east_southeast_asia,ESEA,0.902851524090462,0.5389798426745328,1.26882866273353,0.0003332222592469177,True,339,GPT-5.2
safe,oceania,OCE,0.5253333333333333,0.19441111111111092,0.8664722222222223,0.001999333555481506,True,300,GPT-5.2
safe,latin_america_caribbean,LAC,-2.329083333333333,-2.723679166666666,-1.9537447916666664,0.0003332222592469177,True,400,GPT-5.2
safe,europe_northern_america,ENA,-1.1110451306413303,-1.324238915281077,-0.8956947743467933,0.0003332222592469177,True,842,GPT-5.2
lively,sub_saharan_africa,SSA,0.8368846694796063,0.5762974683544305,1.106053094233474,0.0003332222592469177,True,474,GPT-5.2
lively,northern_africa_western_asia,NAWA,0.9582972582972583,0.6041702741702741,1.3281709956709962,0.0003332222592469177,True,231,GPT-5.2
lively,central_southern_asia,CSA,1.0320806100217867,0.7678880718954249,1.3078485838779959,0.0003332222592469177,True,306,GPT-5.2
lively,east_southeast_asia,ESEA,0.40644051130776787,0.14754056047197636,0.6617305801376598,0.002999000333222259,True,339,GPT-5.2
lively,oceania,OCE,0.9790555555555557,0.6728763888888891,1.302290277777778,0.0003332222592469177,True,300,GPT-5.2
lively,latin_america_caribbean,LAC,-0.023083333333333213,-0.3297729166666666,0.2927114583333334,0.8877040986337887,False,400,GPT-5.2
lively,europe_northern_america,ENA,0.2945170229612035,0.12044586302454476,0.4637391132224862,0.0006664445184938354,True,842,GPT-5.2
wealthy,sub_saharan_africa,SSA,2.294655414908579,1.9524595639943738,2.643818565400844,0.0003332222592469177,True,474,GPT-5.2
wealthy,northern_africa_western_asia,NAWA,-0.2934343434343435,-0.7818217893217891,0.2051262626262627,0.2372542485838054,False,231,GPT-5.2
wealthy,central_southern_asia,CSA,1.4052287581699345,1.073743191721133,1.7274087690631805,0.0003332222592469177,True,306,GPT-5.2
wealthy,east_southeast_asia,ESEA,-0.38269419862340215,-0.7618252212389379,0.00913470993117032,0.051649450183272244,False,339,GPT-5.2
wealthy,oceania,OCE,-1.0522222222222222,-1.4802416666666667,-0.6165305555555554,0.0003332222592469177,True,300,GPT-5.2
wealthy,latin_america_caribbean,LAC,-1.183083333333333,-1.5249385416666668,-0.8368281249999999,0.0003332222592469177,True,400,GPT-5.2
wealthy,europe_northern_america,ENA,-2.4813737133808393,-2.738223970704671,-2.2316107482185266,0.0003332222592469177,True,842,GPT-5.2
beautiful,sub_saharan_africa,SSA,2.2890646976090014,1.9206214838255975,2.638695499296765,0.0003332222592469177,True,474,GPT-5.2
beautiful,northern_africa_western_asia,NAWA,1.0445887445887447,0.5191107503607507,1.5743452380952385,0.0003332222592469177,True,231,GPT-5.2
beautiful,central_southern_asia,CSA,1.4390522875816993,1.0612377450980395,1.843756808278868,0.0003332222592469177,True,306,GPT-5.2
beautiful,east_southeast_asia,ESEA,0.6168141592920354,0.1812155850540805,1.0444161750245822,0.005331556147950683,True,339,GPT-5.2
beautiful,oceania,OCE,1.1235,0.6421597222222221,1.5832916666666668,0.0003332222592469177,True,300,GPT-5.2
beautiful,latin_america_caribbean,LAC,-0.4052500000000001,-0.7961833333333335,-0.03226249999999998,0.03898700433188937,True,400,GPT-5.2
beautiful,europe_northern_america,ENA,-1.302573238321457,-1.5600717537608868,-1.0397233768804435,0.0003332222592469177,True,842,GPT-5.2
boring,sub_saharan_africa,SSA,-0.8356540084388187,-1.1451916315049226,-0.5226529535864978,0.0003332222592469177,True,474,GPT-5.2
boring,northern_africa_western_asia,NAWA,-0.9702020202020205,-1.323109668109669,-0.6161363636363638,0.0003332222592469177,True,231,GPT-5.2
boring,central_southern_asia,CSA,-0.6095315904139434,-0.9448842592592593,-0.2655038126361653,0.000999666777740753,True,306,GPT-5.2
boring,east_southeast_asia,ESEA,0.45290068829891844,0.14881268436578174,0.7603847099311701,0.00433188937020993,True,339,GPT-5.2
boring,oceania,OCE,-1.6110555555555557,-2.005641666666667,-1.2112291666666664,0.0003332222592469177,True,300,GPT-5.2
