model_label,image_id,condition_key,snippet
GPT-5.2,google_gsv_003372,sub_saharan_africa,"{""safe"":72,""lively"":18,""wealthy"":52,""beautiful"":"
GPT-5.2,google_gsv_003613,northern_africa_western_asia,"{
  ""safe"": 78,
  ""lively"": 28,
  ""wealthy"": 62,
  ""beautiful"": 55,
  ""boring"":"
GPT-5.2,google_gsv_003791,northern_africa_western_asia,"{""safe"":72,""lively"":18,""wealthy"":46,""beautiful"":40,""boring"":74"
GPT-5.2,google_gsv_003884,sub_saharan_africa,"{""safe"":78,""lively"":18,""wealthy"":55,""beautiful"":52,""boring"":72,""depressing"
GPT-5.2,google_gsv_004882,sub_saharan_africa,"{""safe"":78,""lively"":22,""wealthy"":55,""beautiful"":50,""boring"":"
GPT-5.2,google_gsv_009460,sub_saharan_africa,"{""safe"":78,""lively"":52,""wealthy"
GPT-5.2,google_gsv_012075,sub_saharan_africa,"{""safe"":72,""lively"":18,""wealthy"":45,""beautiful"":58,""boring"":74,""depressing"":"
GPT-5.2,google_gsv_013378,sub_saharan_africa,"{""safe"":68,""lively"":18,""wealthy"":45"
GPT-5.2,google_gsv_015464,sub_saharan_africa,"{""safe"":82,""lively"":28,""wealthy"":70,""beautiful"":"
GPT-5.2,google_gsv_017570,sub_saharan_africa,"{""safe"":78,""lively"":18,""wealthy"":55,""beautiful"":42,""boring"":72,""depressing"
GPT-5.2,google_gsv_018808,sub_saharan_africa,"{
  ""safe"": 78,
  ""lively"": 18,
  ""wealthy"": 62,
  ""beautiful"": 58,
  ""boring"": 74"
GPT-5.2,google_gsv_018903,sub_saharan_africa,"{""safe"":82,""lively"":22,""wealthy"":58,""beautiful"":55,""boring"
GPT-5.2,google_gsv_019253,sub_saharan_africa,"{
  ""safe"": 78,
  ""lively"": 22,
  ""wealthy"": 58,
  ""beautiful"": 54"
GPT-5.2,google_gsv_020341,sub_saharan_africa,"{""safe"":78,""lively"
GPT-5.2,google_gsv_024984,sub_saharan_africa,"{
  ""safe"": 78,
  ""lively"": 18,
  ""wealthy"": 55,
  ""beautiful"": 60,
  ""bor"
GPT-5.2,google_gsv_027302,central_southern_asia,"{""safe"":74,""lively"":22,""wealthy"":38,""beautiful"":55,""boring"":72,""depressing"":"
GPT-5.2,google_gsv_001945,central_southern_asia,"{
  ""safe"": 78,
  ""lively"": 18,
  ""wealthy"": 70,
  ""beautiful"": 55,
  ""boring"": 72,
  ""depressing"":"
GPT-5.2,google_gsv_004443,central_southern_asia,"{
  ""safe"": 46,
  ""lively"": 22,
  ""wealthy"": 18,
  ""beautiful"": 34,
  ""boring"": 62"
GPT-5.2,google_gsv_008214,sub_saharan_africa,"{
  ""safe"": 68,
  ""lively"": 20,
  ""wealthy"": 45,
  ""beautiful"": 40,
  ""boring"": 70,
  ""depressing"":"
