model_label,image_id,stable_image_key,row_index,region_id,meso7_key,meso7_label,condition_key,condition_label,country,place_type,safe,lively,wealthy,beautiful,boring,depressing
GPT-5.2,google_gsv_000522,row_1,1,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,Australia,urban,74,18,52,45,72,28
GPT-5.2,google_gsv_000522,row_1,1,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,Australia,urban,72,18,40,45,70,22
GPT-5.2,google_gsv_000522,row_1,1,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,Australia,urban,78,18,55,44,72,28
GPT-5.2,google_gsv_000522,row_1,1,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,Australia,urban,76,22,48,44,72,28
GPT-5.2,google_gsv_000522,row_1,1,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,Australia,urban,78,18,52,46,74,22
GPT-5.2,google_gsv_000522,row_1,1,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,Australia,urban,78,18,55,42,70,22
GPT-5.2,google_gsv_000522,row_1,1,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,Australia,urban,78,22,52,48,70,28
GPT-5.2,google_gsv_000584,row_2,2,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,Australia,urban,78,22,55,48,68,24
GPT-5.2,google_gsv_000584,row_2,2,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,Australia,urban,74,22,43,55,66,28
GPT-5.2,google_gsv_000584,row_2,2,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,Australia,urban,78,22,58,55,66,24
GPT-5.2,google_gsv_000584,row_2,2,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,Australia,urban,78,28,55,52,66,22
GPT-5.2,google_gsv_000584,row_2,2,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,Australia,urban,78,24,45,52,68,22
GPT-5.2,google_gsv_000584,row_2,2,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,Australia,urban,78,22,55,58,66,24
