model_label,image_id,stable_image_key,row_index,region_id,meso7_key,meso7_label,condition_key,condition_label,country,place_type,safe,lively,wealthy,beautiful,boring,depressing
Gemini 2.5 Flash,google_gsv_000522,row_1,1,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,Australia,urban,70,20,40,30,70,30
Gemini 2.5 Flash,google_gsv_000522,row_1,1,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,Australia,urban,70,10,30,40,70,20
Gemini 2.5 Flash,google_gsv_000522,row_1,1,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,Australia,urban,70,10,40,30,70,20
Gemini 2.5 Flash,google_gsv_000522,row_1,1,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,Australia,urban,70,10,40,30,70,20
Gemini 2.5 Flash,google_gsv_000522,row_1,1,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,Australia,urban,70,10,40,30,70,20
Gemini 2.5 Flash,google_gsv_000522,row_1,1,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,Australia,urban,70,10,40,30,70,20
Gemini 2.5 Flash,google_gsv_000522,row_1,1,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,Australia,urban,80,10,40,30,70,20
Gemini 2.5 Flash,google_gsv_000522,row_1,1,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,Australia,urban,80,20,50,40,70,30
Gemini 2.5 Flash,google_gsv_000584,row_2,2,Australia_and_New_Zealand,oceania,OCE,central_southern_asia,CSA,Australia,urban,80,20,60,70,50,10
Gemini 2.5 Flash,google_gsv_000584,row_2,2,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,Australia,urban,80,20,40,60,70,10
Gemini 2.5 Flash,google_gsv_000584,row_2,2,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,Australia,urban,80,20,60,70,40,10
Gemini 2.5 Flash,google_gsv_000584,row_2,2,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,Australia,urban,70,20,40,50,60,30
Gemini 2.5 Flash,google_gsv_000584,row_2,2,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,Australia,urban,70,20,40,60,70,10
Gemini 2.5 Flash,google_gsv_000584,row_2,2,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,Australia,urban,70,10,40,50,60,20
Gemini 2.5 Flash,google_gsv_000584,row_2,2,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,Australia,urban,80,20,40,60,70,10
Gemini 2.5 Flash,google_gsv_000584,row_2,2,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,Australia,urban,80,20,50,60,70,10
Gemini 2.5 Flash,google_gsv_000676,row_3,3,Australia_and_New_Zealand,oceania,OCE,neutral,NEU,New Zealand,town,70,30,40,20,70,30
Gemini 2.5 Flash,google_gsv_000676,row_3,3,Australia_and_New_Zealand,oceania,OCE,northern_africa_western_asia,NAWA,New Zealand,town,70,30,40,20,60,40
Gemini 2.5 Flash,google_gsv_000676,row_3,3,Australia_and_New_Zealand,oceania,OCE,sub_saharan_africa,SSA,New Zealand,town,70,30,60,20,70,30
Gemini 2.5 Flash,google_gsv_000676,row_3,3,Australia_and_New_Zealand,oceania,OCE,latin_america_caribbean,LAC,New Zealand,town,70,30,40,20,60,30
Gemini 2.5 Flash,google_gsv_000676,row_3,3,Australia_and_New_Zealand,oceania,OCE,europe_northern_america,ENA,New Zealand,town,70,30,40,20,70,30
Gemini 2.5 Flash,google_gsv_000676,row_3,3,Australia_and_New_Zealand,oceania,OCE,oceania,OCE,New Zealand,town,70,30,40,20,60,30
Gemini 2.5 Flash,google_gsv_000676,row_3,3,Australia_and_New_Zealand,oceania,OCE,east_southeast_asia,ESEA,New Zealand,town,70,30,40,20,70,40
