model_label,dimension,slope,intercept,spearman_rho,spearman_p,n,x_mean,sxx,s_err
GPT-5.2,wealthy,0.2929222220437486,25.176437494321952,0.5410245091047972,1.1328103678747678e-227,2999,33.38957385795265,1649860.9789853906,10.539623240080333
GPT-5.2,safe,0.2200092470126374,55.44288936103215,0.45693991033670894,1.2302994531193728e-154,2999,30.993536178726238,1498204.2008478246,9.040234538347182
GPT-5.2,beautiful,0.3341315769448252,30.247850225125234,0.6367782999346108,0.0,2999,38.59417005668556,2039205.998145271,10.907188975623058
GPT-5.2,depressing,0.2791767170985604,26.574454867657483,0.4416668143940955,1.9803760138331962e-143,2999,56.33939079693231,1453411.448427986,12.565651645359798
GPT-5.2,lively,0.17867001312259037,15.329217286978864,0.5108151830441866,4.7678847159574975e-199,2999,29.230609203067687,1568646.035619986,8.211417323591196
GPT-5.2,boring,0.11820226399799892,62.99589894532748,0.3250817407351835,9.201974950273644e-75,2999,58.645890630210076,1124632.2945081268,7.136154597167361
Claude Sonnet 4,wealthy,0.35289116720730573,27.6906143671832,0.5287220634586141,1.1534928202534048e-215,2999,33.3838792930977,1649568.6284423042,12.901062670789846
Claude Sonnet 4,safe,0.2471304839413641,56.20476081549605,0.3807724743308037,4.391850370555226e-104,2999,30.9817152384128,1498095.3042888134,14.648505541794778
Claude Sonnet 4,beautiful,0.4007796150054082,29.356805991609424,0.5931973779036473,1.421034854216292e-284,2999,38.599275758586195,2038988.3312389476,14.261357141137038
Claude Sonnet 4,depressing,0.31883517002134415,25.89055881393785,0.4123922506717598,1.7109718562957656e-123,2999,56.342778592864285,1452576.7011069858,15.573002566422792
Claude Sonnet 4,lively,0.19526088563645078,19.428154735027707,0.49841709310108634,4.118483103496017e-188,2999,29.21846348782928,1567030.2252677516,9.314165570777483
Claude Sonnet 4,boring,0.10427099179972696,64.91508523163175,0.28268486915840046,3.2344958737032343e-56,2999,58.64774191397132,1124550.2268842414,9.089141353867133
Gemini 2.5 Flash,wealthy,0.33784653915824003,16.964446065668316,0.5026038448898791,8.103403729678999e-192,3000,33.38957966666667,1649860.9792889596,13.374441740526393
Gemini 2.5 Flash,safe,0.19962944930895277,54.94218847582664,0.39949548833635196,2.3355839276294005e-115,3000,30.988137666666667,1498466.4088081438,10.77916529664977
Gemini 2.5 Flash,beautiful,0.36084491952692954,24.891756890291138,0.5930533621214628,1.6984096468156325e-284,3000,38.59435366666667,2039206.3014577597,12.992953191828263
Gemini 2.5 Flash,depressing,0.25922149762683894,19.49039592782698,0.40871973320877175,3.6116090691679773e-121,3000,56.32739133333333,1454706.9006065747,13.481012513615955
Gemini 2.5 Flash,lively,0.29140030212016504,12.240140196911266,0.46082765246507984,1.2387256117247092e-157,3000,29.23192966666667,1568661.7230061595,13.93600446210317
Gemini 2.5 Flash,boring,0.17740925716250086,53.26761562329761,0.2954381302995927,1.717523412751623e-61,3000,58.64435266666666,1124653.5753988787,11.74961420395086
