model_label,row_index,structured_score,structured_dim,baseline_score_100
GPT-5.2,1,40,wealthy,81.934
GPT-5.2,2,43,wealthy,75.235
GPT-5.2,3,40,wealthy,84.969
GPT-5.2,4,40,wealthy,59.029999999999994
GPT-5.2,5,55,wealthy,56.276
GPT-5.2,6,52,wealthy,69.015
GPT-5.2,7,40,wealthy,19.016
GPT-5.2,8,63,wealthy,52.453
GPT-5.2,9,38,wealthy,51.775000000000006
GPT-5.2,10,55,wealthy,61.374
GPT-5.2,11,40,wealthy,50.38
GPT-5.2,12,42,wealthy,82.28999999999999
GPT-5.2,13,25,wealthy,40.484
GPT-5.2,14,52,wealthy,71.886
GPT-5.2,15,45,wealthy,50.964
GPT-5.2,16,62,wealthy,57.741
GPT-5.2,17,55,wealthy,84.76100000000001
GPT-5.2,18,34,wealthy,46.045
GPT-5.2,19,58,wealthy,59.991
GPT-5.2,20,42,wealthy,68.422
GPT-5.2,21,42,wealthy,64.009
GPT-5.2,22,45,wealthy,52.956
GPT-5.2,23,45,wealthy,36.134
GPT-5.2,24,42,wealthy,48.656
GPT-5.2,25,32,wealthy,12.699
GPT-5.2,26,68,wealthy,77.499
GPT-5.2,27,55,wealthy,27.349
GPT-5.2,28,52,wealthy,46.574999999999996
GPT-5.2,29,35,wealthy,13.358
GPT-5.2,30,35,wealthy,37.803
GPT-5.2,31,62,wealthy,83.313
GPT-5.2,32,55,wealthy,58.251999999999995
GPT-5.2,33,55,wealthy,20.716
GPT-5.2,34,55,wealthy,33.202
GPT-5.2,35,45,wealthy,36.339
GPT-5.2,36,55,wealthy,51.141
GPT-5.2,37,55,wealthy,55.671
GPT-5.2,38,65,wealthy,73.506
GPT-5.2,39,55,wealthy,37.258
GPT-5.2,40,55,wealthy,39.431
GPT-5.2,41,45,wealthy,64.887
GPT-5.2,42,50,wealthy,35.766
GPT-5.2,43,45,wealthy,52.786
GPT-5.2,44,62,wealthy,42.499
GPT-5.2,45,52,wealthy,54.608999999999995
GPT-5.2,46,48,wealthy,87.436
GPT-5.2,47,42,wealthy,51.089
GPT-5.2,48,55,wealthy,54.485
GPT-5.2,49,34,wealthy,31.543
GPT-5.2,50,55,wealthy,62.515
GPT-5.2,51,38,wealthy,42.849000000000004
GPT-5.2,52,40,wealthy,74.806
GPT-5.2,53,52,wealthy,74.856
GPT-5.2,54,55,wealthy,86.05000000000001
GPT-5.2,55,66,wealthy,61.894
GPT-5.2,56,45,wealthy,51.939
GPT-5.2,57,45,wealthy,49.951
GPT-5.2,58,55,wealthy,10.042
GPT-5.2,59,34,wealthy,24.058999999999997
GPT-5.2,60,52,wealthy,86.739
GPT-5.2,61,60,wealthy,59.922000000000004
GPT-5.2,62,48,wealthy,33.802
GPT-5.2,63,45,wealthy,31.208
GPT-5.2,64,42,wealthy,71.619
GPT-5.2,65,52,wealthy,47.355999999999995
GPT-5.2,66,40,wealthy,67.47200000000001
GPT-5.2,67,66,wealthy,64.214
GPT-5.2,68,52,wealthy,73.32900000000001
GPT-5.2,69,55,wealthy,65.61
GPT-5.2,70,55,wealthy,55.242000000000004
GPT-5.2,71,45,wealthy,76.545
GPT-5.2,72,52,wealthy,64.234
