axis,model,subgroup,dimension,Image,llm_score,n_comp,llm_score_0_10,human_score_0_10
gender,Claude Sonnet 4,female,beautiful,14,1.0,1,10.0,1.4212454212454215
gender,Claude Sonnet 4,female,beautiful,53,0.0,2,0.0,3.941665741665741
gender,Claude Sonnet 4,female,beautiful,61,1.0,1,10.0,1.123456790123457
gender,Claude Sonnet 4,female,beautiful,63,1.0,1,10.0,4.646227310700995
gender,Claude Sonnet 4,female,beautiful,71,0.0,1,0.0,2.4450310038545338
gender,Claude Sonnet 4,female,beautiful,96,1.0,1,10.0,5.7205127065071055
gender,Claude Sonnet 4,female,beautiful,113,0.3333333333333333,3,3.333333333333333,1.827431827431828
gender,Claude Sonnet 4,female,beautiful,127,0.0,1,0.0,2.53968253968254
gender,Claude Sonnet 4,female,beautiful,144,0.0,1,0.0,2.1899438137828238
gender,Claude Sonnet 4,female,beautiful,163,0.0,1,0.0,4.776725310007043
gender,Claude Sonnet 4,female,beautiful,227,0.0,1,0.0,4.640547447048995
gender,Claude Sonnet 4,female,beautiful,249,0.0,1,0.0,6.507275132275132
gender,Claude Sonnet 4,female,beautiful,255,0.0,1,0.0,6.119212078770903
gender,Claude Sonnet 4,female,beautiful,262,0.0,1,0.0,4.51641568308235
gender,Claude Sonnet 4,female,beautiful,265,0.8,5,8.0,3.4395424836601305
gender,Claude Sonnet 4,female,beautiful,304,1.0,1,10.0,6.517543859649123
gender,Claude Sonnet 4,female,beautiful,314,0.0,1,0.0,4.651473454879028
gender,Claude Sonnet 4,female,beautiful,319,0.5,2,5.0,4.081825037707391
gender,Claude Sonnet 4,female,beautiful,325,1.0,1,10.0,7.404232804232804
gender,Claude Sonnet 4,female,beautiful,328,1.0,1,10.0,8.334415803494752
gender,Claude Sonnet 4,female,beautiful,380,1.0,1,10.0,4.311447811447812
gender,Claude Sonnet 4,female,beautiful,391,1.0,1,10.0,7.019179894179894
gender,Claude Sonnet 4,female,boring,12,0.0,1,0.0,3.668300653594772
gender,Claude Sonnet 4,female,boring,18,1.0,1,10.0,4.625901875901876
gender,Claude Sonnet 4,female,boring,35,0.0,1,0.0,5.882716049382716
gender,Claude Sonnet 4,female,boring,36,0.5,6,5.0,4.547220571730376
gender,Claude Sonnet 4,female,boring,74,1.0,1,10.0,6.691649581355463
gender,Claude Sonnet 4,female,boring,142,1.0,1,10.0,7.481782106782107
gender,Claude Sonnet 4,female,boring,144,1.0,1,10.0,3.662237762237763
gender,Claude Sonnet 4,female,boring,145,1.0,1,10.0,3.333333333333333
gender,Claude Sonnet 4,female,boring,149,1.0,2,10.0,8.29004329004329
gender,Claude Sonnet 4,female,boring,172,1.0,1,10.0,6.620808540976609
gender,Claude Sonnet 4,female,boring,189,0.0,1,0.0,6.609126984126984
gender,Claude Sonnet 4,female,boring,199,0.0,1,0.0,6.370129870129871
gender,Claude Sonnet 4,female,boring,262,0.0,1,0.0,4.559884559884559
gender,Claude Sonnet 4,female,boring,307,0.0,1,0.0,5.276931401931402
gender,Claude Sonnet 4,female,boring,326,0.0,1,0.0,1.8137254901960784
gender,Claude Sonnet 4,female,boring,370,0.0,1,0.0,5.606724294224295
gender,Claude Sonnet 4,female,depressing,1,1.0,2,10.0,3.6527777777777777
gender,Claude Sonnet 4,female,depressing,13,1.0,1,10.0,4.772838272838273
gender,Claude Sonnet 4,female,depressing,17,0.6666666666666666,3,6.666666666666666,5.304232804232805
gender,Claude Sonnet 4,female,depressing,38,1.0,1,10.0,3.957264957264957
gender,Claude Sonnet 4,female,depressing,55,0.0,2,0.0,2.2121489621489627
gender,Claude Sonnet 4,female,depressing,56,0.0,1,0.0,4.084251532780945
gender,Claude Sonnet 4,female,depressing,84,0.0,1,0.0,7.564791825821238
