axis,subgroup,model,n,spearman_rho,beta
gender,female,GPT-5.2,121,0.15085771622150965,0.4553320210325569
gender,female,Claude Sonnet 4,117,0.2708463338915635,0.6923784455638886
gender,female,Gemini 2.5 Flash,121,0.2092078305947146,0.5721274538740826
gender,male,GPT-5.2,121,0.17138029642432703,0.4616924117083823
gender,male,Claude Sonnet 4,105,0.1049322199638186,0.36530363106421687
gender,male,Gemini 2.5 Flash,121,0.1839226430553527,0.5290749519045254
age,older,GPT-5.2,123,0.27088868405216554,0.7888960966218043
age,older,Claude Sonnet 4,123,0.1525329854789328,0.4159407170249804
age,older,Gemini 2.5 Flash,123,0.21561661453438816,0.5801405361321273
age,young,GPT-5.2,123,-0.03196330007806956,-0.10020406118510079
age,young,Claude Sonnet 4,123,0.10292601912616703,0.1924411219036874
age,young,Gemini 2.5 Flash,123,-0.11446151154976102,-0.20772395811832173
country,chile,GPT-5.2,96,0.3437727537124645,0.38900210583198114
country,chile,Claude Sonnet 4,93,0.27171722311607666,0.30396771255801114
country,chile,Gemini 2.5 Flash,96,0.08332798198081512,0.12036985998397942
country,netherlands,GPT-5.2,96,-0.04706146473151098,-0.03990132070287951
country,netherlands,Claude Sonnet 4,93,-0.05160742172417436,-0.03403576143647715
country,netherlands,Gemini 2.5 Flash,96,-0.06169038527673653,-0.04479059372924448
country,nigeria,GPT-5.2,96,0.4191413006453578,0.5726585365843347
country,nigeria,Claude Sonnet 4,88,0.24957644586087907,0.3190976044538688
country,nigeria,Gemini 2.5 Flash,96,0.3051858718579449,0.3892045858822419
country,singapore,GPT-5.2,96,-0.32695575990301956,-0.4067033799605868
country,singapore,Claude Sonnet 4,93,-0.2670921178433276,-0.3282446321050693
country,singapore,Gemini 2.5 Flash,96,-0.3954758985133299,-0.467891425558902
country,usa,GPT-5.2,96,0.1543209299482487,0.22256205456948652
country,usa,Claude Sonnet 4,93,0.16199699415967583,0.22018414718833199
country,usa,Gemini 2.5 Flash,96,0.07917714665429612,0.10139030602702716
