condition_key,condition_label,condition_abbr,mean_shift_vs_neutral,sd_shift_vs_neutral,se_shift_vs_neutral,share_positive_shift,share_negative_shift,model_key,model_label,text_variant
latin_america_caribbean,Latin America and the Caribbean,LAC,0.03096725419163704,0.7738262414932251,0.01412806960184265,0.6893333333333334,0.31066666666666665,gpt52,GPT-5.2,raw
oceania,Oceania,OCE,0.022425901144742966,0.748418927192688,0.013664197629575058,0.6553333333333333,0.3443333333333333,gpt52,GPT-5.2,raw
northern_africa_western_asia,Northern Africa and Western Asia,NAWA,0.013936098664999008,0.7448083758354187,0.013598278282128149,0.6393333333333333,0.36033333333333334,gpt52,GPT-5.2,raw
sub_saharan_africa,Sub-Saharan Africa,SSA,0.007705296855419874,0.7853424549102783,0.014338325930694774,0.6393333333333333,0.3606666666666667,gpt52,GPT-5.2,raw
east_southeast_asia,Eastern and South-eastern Asia,ESEA,0.0031836125999689102,0.7719957828521729,0.014094650152233166,0.635,0.365,gpt52,GPT-5.2,raw
central_southern_asia,Central and Southern Asia,CSA,-0.0062162321992218494,0.7531428933143616,0.013750445056432753,0.6113333333333333,0.38866666666666666,gpt52,GPT-5.2,raw
europe_northern_america,Europe and Northern America,ENA,-0.14552289247512817,0.8428235650062561,0.015387782618361606,0.456,0.544,gpt52,GPT-5.2,raw
northern_africa_western_asia,Northern Africa and Western Asia,NAWA,0.010784778743982315,0.7463483214378357,0.013626393713587304,0.623,0.377,gpt52,GPT-5.2,stripped
latin_america_caribbean,Latin America and the Caribbean,LAC,0.009160211309790611,0.7809333801269531,0.014257827606809628,0.65,0.35,gpt52,GPT-5.2,stripped
sub_saharan_africa,Sub-Saharan Africa,SSA,0.0010621496476233006,0.7870842218399048,0.014370126098603872,0.6276666666666667,0.37233333333333335,gpt52,GPT-5.2,stripped
east_southeast_asia,Eastern and South-eastern Asia,ESEA,-0.0028338630218058825,0.7724370956420898,0.014102707384564935,0.614,0.386,gpt52,GPT-5.2,stripped
oceania,Oceania,OCE,-0.0059692636132240295,0.7669578790664673,0.014002671034034112,0.6153333333333333,0.38466666666666666,gpt52,GPT-5.2,stripped
