series,name_en,geonunit,n_points,mean_gap,median_gap,eligible
Claude Sonnet 4,Aberdeen,Scotland,4,0.0057556624999999615,0.00405320499999995,True
Claude Sonnet 4,Aberdeenshire,Scotland,3,0.0038869966666666,0.0064900599999999,True
Claude Sonnet 4,Anglesey,Wales,1,,,False
Claude Sonnet 4,Angus,Scotland,2,,,False
Claude Sonnet 4,Argyll and Bute,Scotland,1,,,False
Claude Sonnet 4,Barking and Dagenham,England,1,,,False
Claude Sonnet 4,Barnet,England,4,0.5011026175,0.0047168999999999996,True
Claude Sonnet 4,Barnsley,England,3,0.66612974,0.0058578999999999,True
Claude Sonnet 4,Bath and North East Somerset,England,3,0.0205994233333333,0.0033965699999999,True
Claude Sonnet 4,Birmingham,England,14,0.4294397021428571,0.00317629999999995,True
Claude Sonnet 4,Bolton,England,5,0.39989329199999996,0.0005983099999999,True
Claude Sonnet 4,Bournemouth,England,1,,,False
Claude Sonnet 4,Bradford,England,8,0.5557653725,0.074920025,True
Claude Sonnet 4,Brent,England,1,,,False
Claude Sonnet 4,Bridgend,Wales,2,,,False
Claude Sonnet 4,Bristol,England,13,0.4616038923076923,0.0054658,True
Claude Sonnet 4,Bromley,England,2,,,False
Claude Sonnet 4,Bury,England,4,0.499415225,0.00116192999999995,True
Claude Sonnet 4,Caerphilly,Wales,5,0.796891594,0.00549706,True
Claude Sonnet 4,Calderdale,England,8,0.7419839675,0.03401720499999995,True
Claude Sonnet 4,Cambridgeshire,England,19,0.8355994473684211,0.0141022199999999,True
Claude Sonnet 4,Camden,England,4,0.49998067249999995,0.996263265,True
Claude Sonnet 4,Cardiff,Wales,3,0.6652211733333333,0.0011667,True
Claude Sonnet 4,Carmarthenshire,Wales,3,0.002439250000000033,0.0033142,True
Claude Sonnet 4,Central Bedfordshire,England,1,,,False
Claude Sonnet 4,Ceredigion,Wales,2,,,False
Claude Sonnet 4,Cheshire East,England,4,0.00907346999999995,0.00259452,True
Claude Sonnet 4,Cheshire West and Chester,England,2,,,False
Claude Sonnet 4,Conwy,Wales,3,0.03233693999999997,0.0034425399999999,True
Claude Sonnet 4,Cornwall,England,5,0.43187559000000003,0.0095205299999999,True
Claude Sonnet 4,Coventry,England,12,0.4922685375,0.00824658,True
Claude Sonnet 4,Croydon,England,12,0.4365089908333333,0.0072063499999999,True
Claude Sonnet 4,Cumbria,England,6,0.0056987783333333,0.0044414649999999,True
Claude Sonnet 4,Denbighshire,Wales,2,,,False
Claude Sonnet 4,Derby,England,9,0.6694098744444444,0.01247383,True
Claude Sonnet 4,Derbyshire,England,13,0.6137657423076923,0.0027601999999999,True
Claude Sonnet 4,Devon,England,25,0.38541973999999996,0.0060429,True
Claude Sonnet 4,Doncaster,England,1,,,False
Claude Sonnet 4,Dorset,England,5,0.40025733599999996,0.0036066999999999,True
Claude Sonnet 4,Dumfries and Galloway,Scotland,9,0.4397269466666667,0.0025878999999999,True
Claude Sonnet 4,Dundee,Scotland,1,,,False
Claude Sonnet 4,Durham,England,3,0.0009429699999999333,0.0008360099999999,True
Claude Sonnet 4,Ealing,England,4,0.49569223249999994,0.00388414499999995,True
Claude Sonnet 4,East Ayrshire,Scotland,1,,,False
Claude Sonnet 4,East Lothian,Scotland,3,0.0002579933333333083,0.0001292,True
Claude Sonnet 4,East Renfrewshire,Scotland,2,,,False
